,Train_Start,Train_End,Test_Start,Test_End,Out_of_Sample_R2,Actual,Predicted
13,2024-12-30 09:45:00+00:00,2024-12-30 10:14:00+00:00,2024-12-30 10:15:00+00:00,2024-12-30 10:19:00+00:00,-0.7969375519108435,"[np.float64(0.0008310134686899673), np.float64(-0.00022844089191220718), np.float64(-0.00020766706890285036), np.float64(-0.0004984734354573916), np.float64(-0.0006646864794079832)]","[np.float64(-0.00034995048300069805), np.float64(0.00046999419123866764), np.float64(-0.00021350769314094307), np.float64(0.00016354345444752493), np.float64(-3.77884680425424e-05)]"
14,2024-12-30 09:46:00+00:00,2024-12-30 10:15:00+00:00,2024-12-30 10:16:00+00:00,2024-12-30 10:20:00+00:00,-0.18954150312955464,"[np.float64(-0.00022844089191220718), np.float64(-0.00020766706890285036), np.float64(-0.0004984734354573916), np.float64(-0.0006646864794079832), np.float64(-0.00012460800414793027)]","[np.float64(0.00020515700668004836), np.float64(-0.00021853565795552235), np.float64(0.0002649353302867634), np.float64(-4.0073640207037226e-05), np.float64(5.9800761535143915e-05)]"
15,2024-12-30 09:47:00+00:00,2024-12-30 10:16:00+00:00,2024-12-30 10:17:00+00:00,2024-12-30 10:21:00+00:00,-0.06638644573412833,"[np.float64(-0.00020766706890285036), np.float64(-0.0004984734354573916), np.float64(-0.0006646864794079832), np.float64(-0.00012460800414793027), np.float64(4.153858935485033e-05)]","[np.float64(-0.00015960508948003617), np.float64(0.0002078079292830801), np.float64(-3.2881801013891615e-05), np.float64(6.458460361108043e-05), np.float64(-4.391395860173492e-05)]"
16,2024-12-30 09:48:00+00:00,2024-12-30 10:17:00+00:00,2024-12-30 10:18:00+00:00,2024-12-30 10:22:00+00:00,-0.28681157627058895,"[np.float64(-0.0004984734354573916), np.float64(-0.0006646864794079832), np.float64(-0.00012460800414793027), np.float64(4.153858935485033e-05), np.float64(-0.00010384970879506739)]","[np.float64(0.00018930874165860393), np.float64(-2.873671095761227e-05), np.float64(5.8339534612640586e-05), np.float64(-5.637432417432376e-05), np.float64(0.00027752264211752966)]"
17,2024-12-30 09:49:00+00:00,2024-12-30 10:18:00+00:00,2024-12-30 10:19:00+00:00,2024-12-30 10:23:00+00:00,-0.675464502853671,"[np.float64(-0.0006646864794079832), np.float64(-0.00012460800414793027), np.float64(4.153858935485033e-05), np.float64(-0.00010384970879506739), np.float64(0.00027003728755925493)]","[np.float64(0.00010393583685334056), np.float64(-1.3802598670216944e-05), np.float64(8.590274279139822e-05), np.float64(0.00045937986867139165), np.float64(-2.6752833860314813e-05)]"
18,2024-12-30 09:50:00+00:00,2024-12-30 10:19:00+00:00,2024-12-30 10:20:00+00:00,2024-12-30 10:24:00+00:00,-1.7790930082163428,"[np.float64(-0.00012460800414793027), np.float64(4.153858935485033e-05), np.float64(-0.00010384970879506739), np.float64(0.00027003728755925493), np.float64(0.00037394050626815556)]","[np.float64(6.863442482445654e-05), np.float64(5.5704698446402745e-05), np.float64(0.0004953451967868043), np.float64(4.531786754427455e-05), np.float64(-4.315347286816841e-05)]"
19,2024-12-30 09:51:00+00:00,2024-12-30 10:20:00+00:00,2024-12-30 10:21:00+00:00,2024-12-30 10:25:00+00:00,-1.100629180785757,"[np.float64(4.153858935485033e-05), np.float64(-0.00010384970879506739), np.float64(0.00027003728755925493), np.float64(0.00037394050626815556), np.float64(0.0002699643871064694)]","[np.float64(3.985322850040829e-05), np.float64(0.00046525485534071293), np.float64(-0.00012336395562740761), np.float64(1.3913876265584643e-05), np.float64(0.00032766307508766857)]"
20,2024-12-30 09:52:00+00:00,2024-12-30 10:21:00+00:00,2024-12-30 10:22:00+00:00,2024-12-30 10:26:00+00:00,-0.8463562037371049,"[np.float64(-0.00010384970879506739), np.float64(0.00027003728755925493), np.float64(0.00037394050626815556), np.float64(0.0002699643871064694), np.float64(0.0002699587810104376)]","[np.float64(0.00048257039961712567), np.float64(-0.00014231354919947898), np.float64(4.1199891522878704e-05), np.float64(0.00025636751194746686), np.float64(3.1177605581652136e-05)]"
21,2024-12-30 09:53:00+00:00,2024-12-30 10:22:00+00:00,2024-12-30 10:23:00+00:00,2024-12-30 10:27:00+00:00,-0.07142622950393163,"[np.float64(0.00027003728755925493), np.float64(0.00037394050626815556), np.float64(0.0002699643871064694), np.float64(0.0002699587810104376), np.float64(0.00037380848980550496)]","[np.float64(-9.170395349715612e-05), np.float64(-1.5126157510753637e-05), np.float64(0.00022018210238378906), np.float64(-1.1231558172654447e-07), np.float64(-7.289236056191848e-05)]"
22,2024-12-30 09:54:00+00:00,2024-12-30 10:23:00+00:00,2024-12-30 10:24:00+00:00,2024-12-30 10:28:00+00:00,-0.006474400058341212,"[np.float64(0.00037394050626815556), np.float64(0.0002699643871064694), np.float64(0.0002699587810104376), np.float64(0.00037380848980550496), np.float64(0.0002907278600057239)]","[np.float64(-9.839034336621271e-05), np.float64(0.00020948307089120946), np.float64(1.6911925294316307e-05), np.float64(-5.7028174855918234e-05), np.float64(0.00010489722577260975)]"
