ts_event,action,side,depth,price,midprice,size,aOF1,aOF2,aOF3,aOF4,aOF5,bOF1,bOF2,bOF3,bOF4,bOF5,ask_sz_01,ask_sz_02,ask_sz_03,ask_sz_04,ask_sz_05,bid_sz_01,bid_sz_02,bid_sz_03,bid_sz_04,bid_sz_05,event_num,symbol,returns,midprice_delta,OFI1,OFI2,OFI3,OFI4,OFI5,ofi1,ofi2,ofi3,ofi4,ofi5,ofiI
2024-12-30 09:01:00+00:00,A,A,2.0,255.14,254.905,-171.0,47.0,829.0,800.0,1.0,36.0,399.0,-26.0,-3.0,-1.0,0.0,10746,11116,3519,5366,5087,17871,2139,766,2703,8550,106,AAPL,-0.0003922260841404679,-0.09999999999999432,352.0,-855.0,-803.0,-2.0,-36.0,5.4981359503705995,-13.35484726581495,-12.54262263678293,-0.03123940880892386,-0.5623093585606295,-0.270893937562195
2024-12-30 09:02:00+00:00,A,B,0.0,254.72,254.85500000000002,171.0,381.0,571.0,-201.0,-37.0,-121.0,-1.0,0.0,0.0,0.0,3000.0,11183,17267,4118,5417,6797,3677,1266,5565,32288,27837,130,AAPL,-0.00019617074764699538,-0.04999999999998295,-382.0,-571.0,201.0,37.0,3121.0,-4.3027336134817835,-6.431573019104969,2.26400381232942,0.41675692067755493,35.1540094441797,0.5380942433758261
2024-12-30 09:03:00+00:00,A,A,1.0,255.05,254.91000000000003,-170.0,-226.0,1401.0,2.0,36.0,85.0,412.0,626.0,31.0,1006.0,62.0,8207,7199,1147,3918,4006,2971,11228,1717,4589,17643,73,AAPL,0.00021578570601477054,0.05500000000000682,638.0,-775.0,29.0,970.0,-23.0,7.436966067864272,-9.033932135728543,0.3380439121756487,11.306986027944113,-0.2681037924151697,0.2570569636609352
2024-12-30 09:04:00+00:00,A,A,3.0,255.06,254.87,170.0,109.0,429.0,2400.0,2002.0,38.0,1166.0,-147.0,2972.0,0.0,-1000.0,12234,10981,43630,9980,6337,16049,6598,41486,4287,2911,101,AAPL,-0.00015693044090436814,-0.040000000000020464,1057.0,-576.0,572.0,-2002.0,-1038.0,6.910151268989534,-3.7656075032525744,3.7394574511466536,-13.088101079013288,-6.78593852148641,-0.12306452138110319
2024-12-30 09:05:00+00:00,A,A,3.0,255.3,254.78,800.0,1029.0,51.0,400.0,2000.0,-2.0,3229.0,3999.0,1000.0,0.0,0.0,21939,25016,114566,30792,8302,54456,70498,15415,3163,7516,154,AAPL,-0.0003531835610139922,-0.09000000000000341,2200.0,3948.0,600.0,-2000.0,2.0,9.634223674370066,17.289052302915007,2.6275155475554723,-8.75838515851824,0.00875838515851824,0.4507017689836031
2024-12-30 09:06:00+00:00,A,A,1.0,254.95,254.74,-800.0,1000.0,2000.0,1000.0,0.0,0.0,1201.0,1974.0,-1000.0,-3.0,-2.0,23062,41970,88646,7787,5964,28149,65180,40288,2791,2167,131,AAPL,-0.00015701052002814464,-0.03999999999999204,201.0,-26.0,-2000.0,-3.0,-2.0,0.8604789479876078,-0.1113057345655612,-8.561979581966247,-0.01284296937294937,-0.008561979581966247,-0.039300129110871544
2024-12-30 09:07:00+00:00,A,A,3.0,255.4,254.765,800.0,1000.0,0.0,4000.0,1000.0,0.0,771.0,1029.0,1000.0,103.0,5.0,17682,23208,67672,11330,5338,18954,26850,73161,3753,243,101,AAPL,9.813446392126224e-05,0.024999999999977263,-229.0,1029.0,-3000.0,-897.0,5.0,-0.9319032519309725,4.187460463916902,-12.208339544947236,-3.650293523939224,0.020347232574912062,-0.11911901114561745
2024-12-30 09:08:00+00:00,A,A,0.0,254.96,254.79500000000002,-800.0,800.0,170.0,0.0,3000.0,0.0,1000.0,1.0,0.0,0.0,0.0,12089,14120,27420,72328,25427,20721,26104,99356,11769,537,122,AAPL,0.00011774864602731583,0.03000000000002956,200.0,-169.0,0.0,-3000.0,0.0,0.7874244443655586,-0.6653736554888969,0.0,-11.811366665483378,0.0,-0.1017880043925895
2024-12-30 09:09:00+00:00,A,A,0.0,254.89,254.75,-172.0,630.0,230.0,50.0,2000.0,2.0,203.0,24.0,0.0,100.0,100.0,4909,5340,2990,23182,22132,3375,15890,32527,4145,514,47,AAPL,-0.00017662816872743292,-0.045000000000015916,-427.0,-206.0,-50.0,-1900.0,98.0,-1.74506973670481,-0.8418837605648498,-0.20434071858370143,-7.7649473061806535,0.40050780842405476,-0.07437975759891642
2024-12-30 09:10:00+00:00,A,B,2.0,254.46,254.68,1.0,625.0,2626.0,30.0,50.0,1000.0,970.0,-998.0,0.0,1900.0,1000.0,11905,27188,61306,33400,20970,19919,7169,42762,73315,10491,117,AAPL,-0.00027481695400943806,-0.06999999999999318,345.0,-3624.0,-30.0,1850.0,0.0,1.3087460484720757,-13.747523709167544,-0.1138040042149631,7.017913593256059,0.0,-0.0009387548835789461
2024-12-30 09:11:00+00:00,C,B,3.0,254.52,254.755,0.0,-1058.0,-200.0,-30.0,-50.0,-1000.0,597.0,-170.0,-30.0,900.0,-1000.0,9378,24819,27000,24632,47919,16712,3399,11349,75090,13615,87,AAPL,0.0002944438467782362,0.07499999999998863,1655.0,30.0,0.0,950.0,0.0,5.6706430942882005,0.102791113491629,0.0,3.2550519272349185,0.0,0.24757556854256102
2024-12-30 09:12:00+00:00,A,A,2.0,255.0,254.74,171.0,1626.0,1200.0,1000.0,0.0,2000.0,772.0,426.0,0.0,3000.0,0.0,14836,18074,35768,62779,15436,22574,8198,36854,95500,14678,127,AAPL,-5.888183398994329e-05,-0.014999999999986358,-854.0,-774.0,-1000.0,3000.0,-2000.0,-3.3402834026800363,-3.0273762923587215,-3.911338879016436,11.734016637049308,-7.822677758032872,-0.005510973461067625
2024-12-30 09:13:00+00:00,A,A,1.0,254.97,254.775,-172.0,1401.0,1200.0,30.0,650.0,1000.0,1600.0,-57.0,0.0,3000.0,0.0,9608,14803,10410,62916,62404,39263,11497,48657,78403,15774,128,AAPL,0.00013738555314457557,0.03499999999999659,199.0,-1257.0,-30.0,2350.0,-1000.0,0.7200870708298585,-4.548489688608704,-0.10855583982359676,8.503540786181746,-3.618527994119892,0.11451127481834181
2024-12-30 09:14:00+00:00,A,A,3.0,255.3,254.76999999999998,972.0,-54.0,1350.0,-1080.0,-50.0,-1002.0,629.0,-30.0,-100.0,-1000.0,-100.0,5597,10936,10966,26026,38675,16226,4064,32600,48800,4684,74,AAPL,-1.9625352030594456e-05,-0.005000000000023874,683.0,-1380.0,980.0,-950.0,902.0,2.5452476154985044,-5.142667217259057,3.6520390383433883,-3.5402419249247132,3.361366543454833,0.10878806804597926
2024-12-30 09:15:00+00:00,A,B,1.0,254.56,254.74,-600.0,1056.0,850.0,100.0,1050.0,1002.0,3170.0,0.0,1100.0,3000.0,100.0,14488,12626,39252,69858,16519,25530,7037,44428,83103,10822,121,AAPL,-0.00011776020111398111,-0.029999999999972715,2114.0,-850.0,1000.0,1950.0,-902.0,7.903096739509922,-3.1776879037764587,3.7384563573840692,7.289989896898935,-3.3720876343604305,0.305829083371098
2024-12-30 09:16:00+00:00,A,B,2.0,254.56,254.76999999999998,-371.0,370.0,0.0,-50.0,950.0,0.0,603.0,31.0,0.0,2000.0,-100.0,7903,5504,33500,30762,13276,21806,2790,11930,53912,12054,75,AAPL,0.00011776020111398111,0.029999999999972715,233.0,31.0,50.0,1050.0,-100.0,0.903394903767118,0.12019417174583973,0.19386156733199958,4.071092913971991,-0.38772313466399916,0.18088847028440586
2024-12-30 09:17:00+00:00,A,B,0.0,254.48,254.66500000000002,171.0,1000.0,0.0,0.0,3000.0,0.0,146.0,1000.0,900.0,7900.0,1997.0,19406,5700,20900,93042,3936,10744,10099,17418,56948,27567,114,AAPL,-0.00041222138834928757,-0.10499999999996135,-854.0,1000.0,900.0,4900.0,1997.0,-3.6633052378085496,4.289584587597833,3.86062612883805,21.018964479229382,8.566300421432873,0.6768870154075313
2024-12-30 09:18:00+00:00,A,B,1.0,254.26,254.47,-172.0,257.0,800.0,50.0,3050.0,2000.0,-1.0,0.0,-1000.0,0.0,5000.0,12316,18035,9000,52912,74466,8249,10927,9524,28494,63506,133,AAPL,-0.0007660051245146349,-0.1950000000000216,-258.0,-800.0,-1050.0,-3050.0,3000.0,-1.1938252577158184,-3.701783744855251,-4.858591165122517,-14.113050527260643,13.88168904320719,-0.08306633994610767
2024-12-30 09:19:00+00:00,C,A,6.0,255.2,254.46499999999997,972.0,27.0,372.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,2114,8761,2528,3350,45102,1704,4800,4315,139,13070,48,AAPL,-1.964887461181064e-05,-0.005000000000023874,-27.0,-372.0,0.0,0.0,-1000.0,-0.1509029726488362,-2.079107623161743,0.0,0.0,-5.588998986993933,-0.03207723758342364
2024-12-30 09:20:00+00:00,A,B,0.0,254.4,254.57,-800.0,1798.0,0.0,350.0,-50.0,-1000.0,-4.0,0.0,0.0,0.0,3000.0,15161,14756,34650,61852,62706,6901,15714,15672,39810,76169,160,AAPL,0.00041254531216594614,0.10500000000001819,-1802.0,0.0,-350.0,50.0,4000.0,-8.396259657358522,0.0,-1.6307940510962722,0.2329705787280389,18.637646298243112,0.24119328076471744
2024-12-30 09:21:00+00:00,A,B,0.0,254.38,254.51999999999998,0.0,1859.0,800.0,50.0,50.0,900.0,26.0,0.0,0.0,0.0,2000.0,13931,8844,26202,47030,40799,3709,10626,9827,8393,81053,107,AAPL,-0.00019642892282600855,-0.05000000000001137,-1833.0,-800.0,-50.0,-50.0,1100.0,-7.832269761275327,-3.4183392302347313,-0.2136462018896707,-0.2136462018896707,4.700216441572755,-0.019691191364803847
2024-12-30 09:22:00+00:00,A,A,2.0,254.74,254.525,0.0,194.0,1200.0,0.0,0.0,0.0,4.0,0.0,0.0,-1000.0,1000.0,3197,6952,2450,8950,38064,2512,4600,3921,6119,37017,46,AAPL,1.9644628667769837e-05,0.005000000000023874,-190.0,-1200.0,0.0,-1000.0,1000.0,-0.768135557469547,-4.851382468228718,0.0,-4.042818723523932,4.042818723523932,-0.0012070354614907653
2024-12-30 09:23:00+00:00,A,A,1.0,254.66,254.45,0.0,201.0,1200.0,0.0,-1000.0,-1000.0,0.0,0.0,0.0,2000.0,1000.0,7516,13300,7850,30554,45332,4004,8030,5772,20276,43077,81,AAPL,-0.00029470995841762715,-0.07500000000001705,-201.0,-1200.0,0.0,3000.0,2000.0,-0.8766847413454238,-5.233938754301038,0.0,13.084846885752595,8.723231257168397,0.358372560850111
2024-12-30 09:24:00+00:00,A,A,2.0,254.67,254.45499999999998,0.0,202.0,1400.0,1000.0,0.0,0.0,-3.0,0.0,0.0,0.0,1000.0,7257,29738,18000,2010,500,1847,4500,3821,7114,37016,45,AAPL,1.965003291459766e-05,0.0049999999999954525,-205.0,-1400.0,-1000.0,0.0,1000.0,-0.825112027405347,-5.634911406670662,-4.024936719050473,0.0,4.024936719050473,-0.01716513228410573
2024-12-30 09:25:00+00:00,A,B,5.0,253.5,254.41500000000002,800.0,714.0,200.0,0.0,0.0,0.0,-27.0,-100.0,-100.0,-3.0,1998.0,5007,25124,75300,4622,588,5642,8057,22225,23371,29593,83,AAPL,-0.00015721107584365512,-0.03999999999996362,-741.0,-300.0,-100.0,-3.0,1998.0,-3.0824090733677814,-1.2479388961003162,-0.41597963203343874,-0.012479388961003162,8.311273048028106,0.1544144361575148
2024-12-30 09:26:00+00:00,C,A,1.0,254.61,254.45,-972.0,26.0,0.0,1000.0,50.0,50.0,256.0,100.0,100.0,2003.0,2002.0,14947,61425,121426,10618,5334,7808,16128,20708,46505,72436,162,AAPL,0.00013756104292905746,0.03499999999996817,230.0,100.0,-900.0,1953.0,1952.0,0.9874514688539362,0.4293267255886679,-3.863940530298011,8.384750950746684,8.380457683490798,0.3339303611479285
2024-12-30 09:27:00+00:00,A,B,1.0,254.29,254.475,-1.0,229.0,345.0,0.0,-30.0,0.0,29.0,0.0,0.0,0.0,0.0,3831,20959,53449,3842,2758,2272,6530,10018,27287,23083,66,AAPL,9.824630356192188e-05,0.025000000000005684,-200.0,-345.0,0.0,30.0,0.0,-0.8569814775139748,-1.4782930487116064,0.0,0.12854722162709623,0.0,0.060415370523862144
2024-12-30 09:28:00+00:00,A,A,2.0,254.7,254.505,173.0,51.0,400.0,1200.0,0.0,0.0,428.0,29.0,100.0,100.0,1003.0,1620,13280,28880,5180,1288,4843,2671,5003,18062,24093,41,AAPL,0.00011788282460933885,0.030000000000001137,377.0,-371.0,-1100.0,100.0,1003.0,1.4732176896683187,-1.449771254288982,-4.2985131528783835,0.390773922988944,3.9194624475791078,0.0928561328377197
2024-12-30 09:29:00+00:00,A,B,2.0,254.44,254.57,0.0,0.0,0.0,1000.0,0.0,0.0,1.0,800.0,28.0,100.0,100.0,857,10090,14322,1810,729,1816,5261,1422,2500,7530,25,AAPL,0.0002553651244046051,0.06499999999999773,1.0,800.0,-972.0,100.0,100.0,0.005395256490493557,4.316205192394846,-5.244189308759738,0.5395256490493557,0.5395256490493557,0.09926247433073361
