,window_start,window_end,params,r_squared,p_values,summary
10,2024-12-30 14:00:00+00:00,2024-12-30 14:30:00+00:00,"const   -0.000043
ofiI     0.001136
dtype: float64",0.39312794481252367,"const    0.623919
ofiI     0.000209
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.393
Model:                            OLS   Adj. R-squared:                  0.371
Method:                 Least Squares   F-statistic:                     18.14
Date:                Wed, 08 Jan 2025   Prob (F-statistic):           0.000209
Time:                        23:34:40   Log-Likelihood:                 188.36
No. Observations:                  30   AIC:                            -372.7
Df Residuals:                      28   BIC:                            -369.9
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const      -4.269e-05   8.61e-05     -0.496      0.624      -0.000       0.000
ofiI           0.0011      0.000      4.259      0.000       0.001       0.002
==============================================================================
Omnibus:                       38.052   Durbin-Watson:                   2.300
Prob(Omnibus):                  0.000   Jarque-Bera (JB):              149.168
Skew:                          -2.452   Prob(JB):                     4.06e-33
Kurtosis:                      12.762   Cond. No.                         3.11
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
11,2024-12-30 14:30:00+00:00,2024-12-30 15:00:00+00:00,"const   -0.000091
ofiI     0.000267
dtype: float64",0.7322163229533716,"const    3.812759e-01
ofiI     1.682634e-09
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.732
Model:                            OLS   Adj. R-squared:                  0.723
Method:                 Least Squares   F-statistic:                     76.56
Date:                Wed, 08 Jan 2025   Prob (F-statistic):           1.68e-09
Time:                        23:34:40   Log-Likelihood:                 183.22
No. Observations:                  30   AIC:                            -362.4
Df Residuals:                      28   BIC:                            -359.6
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const      -9.072e-05      0.000     -0.890      0.381      -0.000       0.000
ofiI           0.0003   3.05e-05      8.750      0.000       0.000       0.000
==============================================================================
Omnibus:                        1.525   Durbin-Watson:                   2.193
Prob(Omnibus):                  0.467   Jarque-Bera (JB):                0.951
Skew:                          -0.436   Prob(JB):                        0.622
Kurtosis:                       3.013   Cond. No.                         3.35
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
12,2024-12-30 15:00:00+00:00,2024-12-30 15:30:00+00:00,"const   -0.000047
ofiI     0.000686
dtype: float64",0.9287864188239308,"const    2.419972e-01
ofiI     1.334450e-17
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.929
Model:                            OLS   Adj. R-squared:                  0.926
Method:                 Least Squares   F-statistic:                     365.2
Date:                Wed, 08 Jan 2025   Prob (F-statistic):           1.33e-17
Time:                        23:34:40   Log-Likelihood:                 211.54
No. Observations:                  30   AIC:                            -419.1
Df Residuals:                      28   BIC:                            -416.3
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const      -4.735e-05   3.96e-05     -1.195      0.242      -0.000    3.38e-05
ofiI           0.0007   3.59e-05     19.110      0.000       0.001       0.001
==============================================================================
Omnibus:                       28.978   Durbin-Watson:                   1.476
Prob(Omnibus):                  0.000   Jarque-Bera (JB):               57.806
Skew:                           2.177   Prob(JB):                     2.80e-13
Kurtosis:                       8.224   Cond. No.                         1.10
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
13,2024-12-30 15:30:00+00:00,2024-12-30 16:00:00+00:00,"const    0.000063
ofiI     0.000786
dtype: float64",0.9811980692293444,"const    4.056198e-03
ofiI     1.040311e-25
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.981
Model:                            OLS   Adj. R-squared:                  0.981
Method:                 Least Squares   F-statistic:                     1461.
Date:                Wed, 08 Jan 2025   Prob (F-statistic):           1.04e-25
Time:                        23:34:40   Log-Likelihood:                 231.67
No. Observations:                  30   AIC:                            -459.3
Df Residuals:                      28   BIC:                            -456.5
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const       6.348e-05   2.03e-05      3.131      0.004    2.19e-05       0.000
ofiI           0.0008   2.06e-05     38.226      0.000       0.001       0.001
==============================================================================
Omnibus:                        0.875   Durbin-Watson:                   1.200
Prob(Omnibus):                  0.646   Jarque-Bera (JB):                0.820
Skew:                          -0.363   Prob(JB):                        0.664
Kurtosis:                       2.641   Cond. No.                         1.05
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
14,2024-12-30 16:00:00+00:00,2024-12-30 16:30:00+00:00,"const    0.000071
ofiI     0.000471
dtype: float64",0.9701419023810026,"const    1.257334e-04
ofiI     6.784096e-23
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.970
Model:                            OLS   Adj. R-squared:                  0.969
Method:                 Least Squares   F-statistic:                     909.8
Date:                Wed, 08 Jan 2025   Prob (F-statistic):           6.78e-23
Time:                        23:34:40   Log-Likelihood:                 238.93
No. Observations:                  30   AIC:                            -473.9
Df Residuals:                      28   BIC:                            -471.1
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const       7.112e-05    1.6e-05      4.446      0.000    3.84e-05       0.000
ofiI           0.0005   1.56e-05     30.162      0.000       0.000       0.001
==============================================================================
Omnibus:                        2.365   Durbin-Watson:                   2.242
Prob(Omnibus):                  0.307   Jarque-Bera (JB):                1.276
Skew:                          -0.120   Prob(JB):                        0.528
Kurtosis:                       2.019   Cond. No.                         1.12
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
15,2024-12-30 16:30:00+00:00,2024-12-30 17:00:00+00:00,"const    0.000059
ofiI     0.000392
dtype: float64",0.9160793856854348,"const    7.404751e-03
ofiI     1.337710e-16
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.916
Model:                            OLS   Adj. R-squared:                  0.913
Method:                 Least Squares   F-statistic:                     305.6
Date:                Wed, 08 Jan 2025   Prob (F-statistic):           1.34e-16
Time:                        23:34:40   Log-Likelihood:                 231.66
No. Observations:                  30   AIC:                            -459.3
Df Residuals:                      28   BIC:                            -456.5
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const       5.868e-05   2.03e-05      2.888      0.007    1.71e-05       0.000
ofiI           0.0004   2.24e-05     17.483      0.000       0.000       0.000
==============================================================================
Omnibus:                        0.111   Durbin-Watson:                   2.427
Prob(Omnibus):                  0.946   Jarque-Bera (JB):                0.247
Skew:                           0.126   Prob(JB):                        0.884
Kurtosis:                       2.634   Cond. No.                         1.14
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
16,2024-12-30 17:00:00+00:00,2024-12-30 17:30:00+00:00,"const    0.000063
ofiI     0.000363
dtype: float64",0.9567059311197592,"const    4.478534e-04
ofiI     1.240052e-20
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.957
Model:                            OLS   Adj. R-squared:                  0.955
Method:                 Least Squares   F-statistic:                     618.7
Date:                Wed, 08 Jan 2025   Prob (F-statistic):           1.24e-20
Time:                        23:34:40   Log-Likelihood:                 239.22
No. Observations:                  30   AIC:                            -474.4
Df Residuals:                      28   BIC:                            -471.6
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const       6.263e-05   1.57e-05      3.976      0.000    3.04e-05    9.49e-05
ofiI           0.0004   1.46e-05     24.874      0.000       0.000       0.000
==============================================================================
Omnibus:                        2.373   Durbin-Watson:                   2.172
Prob(Omnibus):                  0.305   Jarque-Bera (JB):                1.201
Skew:                           0.009   Prob(JB):                        0.548
Kurtosis:                       3.980   Cond. No.                         1.08
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
17,2024-12-30 17:30:00+00:00,2024-12-30 18:00:00+00:00,"const   -0.000021
ofiI     0.000427
dtype: float64",0.9757860899081057,"const    1.497293e-01
ofiI     3.600455e-24
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.976
Model:                            OLS   Adj. R-squared:                  0.975
Method:                 Least Squares   F-statistic:                     1128.
Date:                Wed, 08 Jan 2025   Prob (F-statistic):           3.60e-24
Time:                        23:34:40   Log-Likelihood:                 242.88
No. Observations:                  30   AIC:                            -481.8
Df Residuals:                      28   BIC:                            -479.0
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const      -2.082e-05   1.41e-05     -1.481      0.150   -4.96e-05    7.97e-06
ofiI           0.0004   1.27e-05     33.591      0.000       0.000       0.000
==============================================================================
Omnibus:                        0.550   Durbin-Watson:                   1.673
Prob(Omnibus):                  0.760   Jarque-Bera (JB):                0.039
Skew:                           0.001   Prob(JB):                        0.981
Kurtosis:                       3.176   Cond. No.                         1.18
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
18,2024-12-30 18:00:00+00:00,2024-12-30 18:30:00+00:00,"const   -0.000033
ofiI     0.000399
dtype: float64",0.9675210791940212,"const    1.229341e-02
ofiI     2.205929e-22
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.968
Model:                            OLS   Adj. R-squared:                  0.966
Method:                 Least Squares   F-statistic:                     834.1
Date:                Wed, 08 Jan 2025   Prob (F-statistic):           2.21e-22
Time:                        23:34:40   Log-Likelihood:                 246.83
No. Observations:                  30   AIC:                            -489.7
Df Residuals:                      28   BIC:                            -486.9
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const      -3.293e-05   1.23e-05     -2.677      0.012   -5.81e-05   -7.73e-06
ofiI           0.0004   1.38e-05     28.881      0.000       0.000       0.000
==============================================================================
Omnibus:                        1.242   Durbin-Watson:                   2.173
Prob(Omnibus):                  0.538   Jarque-Bera (JB):                0.770
Skew:                           0.392   Prob(JB):                        0.681
Kurtosis:                       2.973   Cond. No.                         1.18
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
19,2024-12-30 18:30:00+00:00,2024-12-30 19:00:00+00:00,"const    0.000010
ofiI     0.000381
dtype: float64",0.9470674757262625,"const    5.922444e-01
ofiI     2.077804e-19
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.947
Model:                            OLS   Adj. R-squared:                  0.945
Method:                 Least Squares   F-statistic:                     501.0
Date:                Wed, 08 Jan 2025   Prob (F-statistic):           2.08e-19
Time:                        23:34:40   Log-Likelihood:                 235.55
No. Observations:                  30   AIC:                            -467.1
Df Residuals:                      28   BIC:                            -464.3
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const       9.675e-06   1.79e-05      0.542      0.592   -2.69e-05    4.63e-05
ofiI           0.0004    1.7e-05     22.382      0.000       0.000       0.000
==============================================================================
Omnibus:                       11.220   Durbin-Watson:                   1.663
Prob(Omnibus):                  0.004   Jarque-Bera (JB):               12.272
Skew:                          -0.949   Prob(JB):                      0.00216
Kurtosis:                       5.493   Cond. No.                         1.10
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
20,2024-12-30 19:00:00+00:00,2024-12-30 19:30:00+00:00,"const   -0.000018
ofiI     0.000323
dtype: float64",0.9538043803802192,"const    1.193913e-01
ofiI     3.079408e-20
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.954
Model:                            OLS   Adj. R-squared:                  0.952
Method:                 Least Squares   F-statistic:                     578.1
Date:                Wed, 08 Jan 2025   Prob (F-statistic):           3.08e-20
Time:                        23:34:40   Log-Likelihood:                 248.66
No. Observations:                  30   AIC:                            -493.3
Df Residuals:                      28   BIC:                            -490.5
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const      -1.847e-05   1.15e-05     -1.606      0.119    -4.2e-05    5.08e-06
ofiI           0.0003   1.35e-05     24.044      0.000       0.000       0.000
==============================================================================
Omnibus:                        0.471   Durbin-Watson:                   2.402
Prob(Omnibus):                  0.790   Jarque-Bera (JB):                0.273
Skew:                          -0.227   Prob(JB):                        0.872
Kurtosis:                       2.885   Cond. No.                         1.17
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
21,2024-12-30 19:30:00+00:00,2024-12-30 20:00:00+00:00,"const    0.000061
ofiI     0.000261
dtype: float64",0.9625668754640931,"const    2.486583e-07
ofiI     1.613588e-21
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.963
Model:                            OLS   Adj. R-squared:                  0.961
Method:                 Least Squares   F-statistic:                     720.0
Date:                Wed, 08 Jan 2025   Prob (F-statistic):           1.61e-21
Time:                        23:34:40   Log-Likelihood:                 255.82
No. Observations:                  30   AIC:                            -507.6
Df Residuals:                      28   BIC:                            -504.8
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const       6.114e-05   9.06e-06      6.751      0.000    4.26e-05    7.97e-05
ofiI           0.0003   9.74e-06     26.833      0.000       0.000       0.000
==============================================================================
Omnibus:                        0.226   Durbin-Watson:                   2.730
Prob(Omnibus):                  0.893   Jarque-Bera (JB):                0.417
Skew:                           0.128   Prob(JB):                        0.812
Kurtosis:                       2.482   Cond. No.                         1.08
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
22,2024-12-30 20:00:00+00:00,2024-12-30 20:30:00+00:00,"const   -0.000010
ofiI     0.000294
dtype: float64",0.905132926845213,"const    5.617877e-01
ofiI     7.485829e-16
dtype: float64","                            OLS Regression Results                            
==============================================================================
Dep. Variable:                returns   R-squared:                       0.905
Model:                            OLS   Adj. R-squared:                  0.902
Method:                 Least Squares   F-statistic:                     267.1
Date:                Wed, 08 Jan 2025   Prob (F-statistic):           7.49e-16
Time:                        23:34:40   Log-Likelihood:                 236.85
No. Observations:                  30   AIC:                            -469.7
Df Residuals:                      28   BIC:                            -466.9
Df Model:                           1                                         
Covariance Type:            nonrobust                                         
==============================================================================
                 coef    std err          t      P>|t|      [0.025      0.975]
------------------------------------------------------------------------------
const      -1.035e-05   1.76e-05     -0.587      0.562   -4.65e-05    2.58e-05
ofiI           0.0003    1.8e-05     16.345      0.000       0.000       0.000
==============================================================================
Omnibus:                        3.750   Durbin-Watson:                   2.082
Prob(Omnibus):                  0.153   Jarque-Bera (JB):                1.536
Skew:                          -0.046   Prob(JB):                        0.464
Kurtosis:                       1.895   Cond. No.                         1.30
==============================================================================

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified."
