,Train_Start,Train_End,Test_Start,Test_End,Out_of_Sample_R2,Actual,Predicted
13,2024-12-30 09:49:00+00:00,2024-12-30 10:31:00+00:00,2024-12-30 10:32:00+00:00,2024-12-30 10:37:00+00:00,-0.5320176767581424,"[np.float64(-0.0022894531668349316), np.float64(0.007543015432842637), np.float64(0.008196610227351186), np.float64(0.009832468599677568), np.float64(0.009791132146631298)]","[np.float64(-0.0060617510726213705), np.float64(-0.006899694814399281), np.float64(-0.007164449548690131), np.float64(-0.0056638465712126355), np.float64(-0.0015410176155432004)]"
14,2024-12-30 09:50:00+00:00,2024-12-30 10:32:00+00:00,2024-12-30 10:33:00+00:00,2024-12-30 10:38:00+00:00,-0.6795458657659357,"[np.float64(0.007543015432842637), np.float64(0.008196610227351186), np.float64(0.009832468599677568), np.float64(0.009791132146631298), np.float64(0.009832468599677568)]","[np.float64(-0.006377213504330039), np.float64(-0.006725382332370886), np.float64(-0.00540985471635429), np.float64(-0.0007044725078165235), np.float64(-0.011018298897264082)]"
15,2024-12-30 09:51:00+00:00,2024-12-30 10:33:00+00:00,2024-12-30 10:34:00+00:00,2024-12-30 10:39:00+00:00,-0.35580203554099854,"[np.float64(0.008196610227351186), np.float64(0.009832468599677568), np.float64(0.009791132146631298), np.float64(0.009832468599677568), np.float64(-0.0003242882378557965)]","[np.float64(-0.005429379749706725), np.float64(-0.0034761522883508503), np.float64(0.0027308609175300765), np.float64(-0.008970391074457865), np.float64(-0.005765689843809927)]"
16,2024-12-30 09:52:00+00:00,2024-12-30 10:34:00+00:00,2024-12-30 10:35:00+00:00,2024-12-30 10:40:00+00:00,-0.39699997777982876,"[np.float64(0.009832468599677568), np.float64(0.009791132146631298), np.float64(0.009832468599677568), np.float64(-0.0003242882378557965), np.float64(-0.0003242882378557965)]","[np.float64(-0.00342123755645898), np.float64(0.0028384906502278953), np.float64(-0.005752370364772534), np.float64(0.012436433344543134), np.float64(-0.00224684342603834)]"
17,2024-12-30 09:54:00+00:00,2024-12-30 10:35:00+00:00,2024-12-30 10:37:00+00:00,2024-12-30 10:41:00+00:00,-0.44873131286990153,"[np.float64(0.009791132146631298), np.float64(0.009832468599677568), np.float64(-0.0003242882378557965), np.float64(-0.0003242882378557965), np.float64(-0.0003242882378557965)]","[np.float64(0.003496483746587664), np.float64(-0.00431652881347864), np.float64(0.012756336646669295), np.float64(-0.0017878002274023756), np.float64(0.002511123807944003)]"
18,2024-12-30 09:57:00+00:00,2024-12-30 10:37:00+00:00,2024-12-30 10:38:00+00:00,2024-12-30 10:43:00+00:00,-42.61230490072937,"[np.float64(0.009832468599677568), np.float64(-0.0003242882378557965), np.float64(-0.0003242882378557965), np.float64(-0.0003242882378557965), np.float64(-0.0006294166659888134)]","[np.float64(-0.005747037556096973), np.float64(0.07295469772290362), np.float64(0.0034335188645040543), np.float64(0.016614264299277218), np.float64(0.0013136945539612178)]"
19,2024-12-30 10:00:00+00:00,2024-12-30 10:38:00+00:00,2024-12-30 10:39:00+00:00,2024-12-30 10:44:00+00:00,-2980.3650976289764,"[np.float64(-0.0003242882378557965), np.float64(-0.0003242882378557965), np.float64(-0.0003242882378557965), np.float64(-0.0006294166659888134), np.float64(-0.0003433672919168629)]","[np.float64(0.08363995484251502), np.float64(0.004950578643387077), np.float64(0.021274986469546155), np.float64(0.0021506077480854487), np.float64(-0.0005238987560773553)]"
20,2024-12-30 10:06:00+00:00,2024-12-30 10:39:00+00:00,2024-12-30 10:40:00+00:00,2024-12-30 10:45:00+00:00,-8.500872989096429,"[np.float64(-0.0003242882378557965), np.float64(-0.0003242882378557965), np.float64(-0.0006294166659888134), np.float64(-0.0003433672919168629), np.float64(-1.907905406106636e-05)]","[np.float64(-0.0023667207647046287), np.float64(0.0027822655223816435), np.float64(-0.0012685207842413346), np.float64(-0.0007661885194853702), np.float64(-0.0023644755588589457)]"
21,2024-12-30 10:07:00+00:00,2024-12-30 10:40:00+00:00,2024-12-30 10:41:00+00:00,2024-12-30 10:46:00+00:00,-9.110869792905012,"[np.float64(-0.0003242882378557965), np.float64(-0.0006294166659888134), np.float64(-0.0003433672919168629), np.float64(-1.907905406106636e-05), np.float64(-1.907905406106636e-05)]","[np.float64(0.0030628806498686698), np.float64(-0.0010236458765912324), np.float64(-0.0005972086906602977), np.float64(-0.0021559553968754142), np.float64(-0.0009336548035292773)]"
22,2024-12-30 10:11:00+00:00,2024-12-30 10:41:00+00:00,2024-12-30 10:43:00+00:00,2024-12-30 10:47:00+00:00,-11.36355185165592,"[np.float64(-0.0006294166659888134), np.float64(-0.0003433672919168629), np.float64(-1.907905406106636e-05), np.float64(-1.907905406106636e-05), np.float64(-1.907905406106636e-05)]","[np.float64(-0.0010956639640204223), np.float64(-0.0007956577103406849), np.float64(-0.0018111657341264569), np.float64(-0.0012073417280595018), np.float64(0.0031576339004278113)]"
23,2024-12-30 10:12:00+00:00,2024-12-30 10:43:00+00:00,2024-12-30 10:44:00+00:00,2024-12-30 10:48:00+00:00,-10.912014521630443,"[np.float64(-0.0003433672919168629), np.float64(-1.907905406106636e-05), np.float64(-1.907905406106636e-05), np.float64(-1.907905406106636e-05), np.float64(0.0)]","[np.float64(-0.0008919915444416662), np.float64(-0.0019771969497003467), np.float64(-0.001305604898804614), np.float64(0.003171913519802089), np.float64(-0.0021981727963915807)]"
24,2024-12-30 10:13:00+00:00,2024-12-30 10:44:00+00:00,2024-12-30 10:45:00+00:00,2024-12-30 10:49:00+00:00,-9.945746294424687,"[np.float64(-1.907905406106636e-05), np.float64(-1.907905406106636e-05), np.float64(-1.907905406106636e-05), np.float64(0.0), np.float64(-3.815920018812591e-05)]","[np.float64(-0.002156850716708974), np.float64(-0.0013047626139532195), np.float64(0.0033106669150061415), np.float64(-0.0023717424526309232), np.float64(-0.000350073179230415)]"
25,2024-12-30 10:14:00+00:00,2024-12-30 10:45:00+00:00,2024-12-30 10:46:00+00:00,2024-12-30 10:50:00+00:00,-14.676224222609425,"[np.float64(-1.907905406106636e-05), np.float64(-1.907905406106636e-05), np.float64(0.0), np.float64(-3.815920018812591e-05), np.float64(-0.00030531438077030515)]","[np.float64(-0.001260501481735938), np.float64(0.0033667098264013573), np.float64(-0.002378438180781158), np.float64(-0.0003731488367864043), np.float64(-0.003272278126812736)]"
26,2024-12-30 10:15:00+00:00,2024-12-30 10:46:00+00:00,2024-12-30 10:47:00+00:00,2024-12-30 10:51:00+00:00,-18.936082267597843,"[np.float64(-1.907905406106636e-05), np.float64(0.0), np.float64(-3.815920018812591e-05), np.float64(-0.00030531438077030515), np.float64(-0.00030531438077030515)]","[np.float64(0.003612500912411036), np.float64(-0.002552100050771063), np.float64(-0.000570145142233287), np.float64(-0.0009065826039424659), np.float64(-0.0029601031877213597)]"
27,2024-12-30 10:16:00+00:00,2024-12-30 10:47:00+00:00,2024-12-30 10:48:00+00:00,2024-12-30 10:52:00+00:00,-17.339433858721588,"[np.float64(0.0), np.float64(-3.815920018812591e-05), np.float64(-0.00030531438077030515), np.float64(-0.00030531438077030515), np.float64(-0.0003243996250148484)]","[np.float64(-0.002792357664447574), np.float64(-0.000925726432032912), np.float64(-0.0012891328305932627), np.float64(-0.0030614633827093685), np.float64(-0.0010169703270418123)]"
28,2024-12-30 10:17:00+00:00,2024-12-30 10:48:00+00:00,2024-12-30 10:49:00+00:00,2024-12-30 10:53:00+00:00,-562.6389179050349,"[np.float64(-3.815920018812591e-05), np.float64(-0.00030531438077030515), np.float64(-0.00030531438077030515), np.float64(-0.0003243996250148484), np.float64(-0.0003243996250148484)]","[np.float64(-0.0007337278034990665), np.float64(-0.01722909693850133), np.float64(-0.004100345228705516), np.float64(-0.004061024083819259), np.float64(-0.002244223468871279)]"
29,2024-12-30 10:18:00+00:00,2024-12-30 10:49:00+00:00,2024-12-30 10:50:00+00:00,2024-12-30 10:54:00+00:00,-2025.3558325079962,"[np.float64(-0.00030531438077030515), np.float64(-0.00030531438077030515), np.float64(-0.0003243996250148484), np.float64(-0.0003243996250148484), np.float64(-0.0002862404248267225)]","[np.float64(-0.023218277801733245), np.float64(-0.004769245646834373), np.float64(-0.005230252602352275), np.float64(-0.002505779207322327), np.float64(-0.00035767953094804125)]"
30,2024-12-30 10:19:00+00:00,2024-12-30 10:50:00+00:00,2024-12-30 10:51:00+00:00,2024-12-30 10:55:00+00:00,-36.18402788346228,"[np.float64(-0.00030531438077030515), np.float64(-0.0003243996250148484), np.float64(-0.0003243996250148484), np.float64(-0.0002862404248267225), np.float64(-1.9085244244543276e-05)]","[np.float64(-0.0032613768873199405), np.float64(-0.0009357005165795866), np.float64(-0.0021000622045603753), np.float64(-0.0008201660515158205), np.float64(-0.002241714314354687)]"
31,2024-12-30 10:20:00+00:00,2024-12-30 10:51:00+00:00,2024-12-30 10:52:00+00:00,2024-12-30 10:56:00+00:00,-6.0865200492728,"[np.float64(-0.0003243996250148484), np.float64(-0.0003243996250148484), np.float64(-0.0002862404248267225), np.float64(-1.9085244244543276e-05), np.float64(-1.9085244244543276e-05)]","[np.float64(-0.00034485644221564013), np.float64(-0.001646835840599239), np.float64(-0.00018891592388761832), np.float64(-0.001732352463285049), np.float64(-0.000369953564031513)]"
32,2024-12-30 10:21:00+00:00,2024-12-30 10:52:00+00:00,2024-12-30 10:53:00+00:00,2024-12-30 10:57:00+00:00,-311.9590446231017,"[np.float64(-0.0003243996250148484), np.float64(-0.0002862404248267225), np.float64(-1.9085244244543276e-05), np.float64(-1.9085244244543276e-05), np.float64(0.0)]","[np.float64(-0.0015265959603898167), np.float64(0.00013397720601007225), np.float64(-0.0017643293174369134), np.float64(0.0002693182288892315), np.float64(0.005620699300288629)]"
33,2024-12-30 10:22:00+00:00,2024-12-30 10:53:00+00:00,2024-12-30 10:54:00+00:00,2024-12-30 10:58:00+00:00,-25.821040674598176,"[np.float64(-0.0002862404248267225), np.float64(-1.9085244244543276e-05), np.float64(-1.9085244244543276e-05), np.float64(0.0), np.float64(0.0)]","[np.float64(-0.0015871458725400039), np.float64(-0.0016735979559466567), np.float64(-0.000637052387031396), np.float64(0.0013254697720104245), np.float64(-0.0011750407233755012)]"
34,2024-12-30 10:23:00+00:00,2024-12-30 10:54:00+00:00,2024-12-30 10:55:00+00:00,2024-12-30 10:59:00+00:00,-1.1388982109420418,"[np.float64(-1.9085244244543276e-05), np.float64(-1.9085244244543276e-05), np.float64(0.0), np.float64(0.0), np.float64(0.0)]","[np.float64(-0.000996853078202699), np.float64(-3.0530416092218156e-05), np.float64(0.0011049604616186815), np.float64(-0.0005009747142150842), np.float64(-0.0004035937081930832)]"
35,2024-12-30 10:24:00+00:00,2024-12-30 10:55:00+00:00,2024-12-30 10:56:00+00:00,2024-12-30 11:00:00+00:00,0.8248285704140756,"[np.float64(-1.9085244244543276e-05), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]","[np.float64(-0.0003792175861778602), np.float64(-0.00034397130519060173), np.float64(-0.0005605641112993046), np.float64(-8.654583179438721e-05), np.float64(-0.00013346449143884754)]"
36,2024-12-30 10:25:00+00:00,2024-12-30 10:56:00+00:00,2024-12-30 10:57:00+00:00,2024-12-30 11:01:00+00:00,0.3838566106198841,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]","[np.float64(-0.0018709131931976943), np.float64(-3.5747104554069865e-05), np.float64(0.0003887240063514825), np.float64(0.0006112316800302754), np.float64(-0.0001372638001065704)]"
37,2024-12-30 10:26:00+00:00,2024-12-30 10:57:00+00:00,2024-12-30 10:58:00+00:00,2024-12-30 11:02:00+00:00,0.9379720047106365,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]","[np.float64(-3.171476297618274e-05), np.float64(0.00034548937823939926), np.float64(0.00041619327596089696), np.float64(-0.0002742162687548389), np.float64(-0.00019608725865230688)]"
38,2024-12-30 10:27:00+00:00,2024-12-30 10:58:00+00:00,2024-12-30 10:59:00+00:00,2024-12-30 11:03:00+00:00,0.9165206520482321,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]","[np.float64(0.0004593796104759161), np.float64(0.0005384057581984997), np.float64(-0.00017793712810474022), np.float64(-5.867468874915915e-05), np.float64(-0.00018190128434850486)]"
39,2024-12-30 10:28:00+00:00,2024-12-30 10:59:00+00:00,2024-12-30 11:00:00+00:00,2024-12-30 11:04:00+00:00,0.9290019824988288,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]","[np.float64(0.0005284012254396491), np.float64(-0.0001186917070638893), np.float64(-9.434028972222066e-05), np.float64(-0.00015794013207941188), np.float64(-0.00039607224274241766)]"
40,2024-12-30 10:29:00+00:00,2024-12-30 11:00:00+00:00,2024-12-30 11:01:00+00:00,2024-12-30 11:07:00+00:00,0.8836987368445155,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]","[np.float64(-0.00022005676279620678), np.float64(-0.0001179948716332704), np.float64(-0.00024381585937088395), np.float64(-0.00036138709006906946), np.float64(-0.0007451976951929251)]"
41,2024-12-30 10:30:00+00:00,2024-12-30 11:01:00+00:00,2024-12-30 11:02:00+00:00,2024-12-30 11:12:00+00:00,0.9077057011088128,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]","[np.float64(-9.063441830267399e-05), np.float64(-0.00013628827830319915), np.float64(-0.00032320326175848), np.float64(-0.0005813872974430146), np.float64(-0.0004558056929001098)]"
