,Train_Start,Train_End,Test_Start,Test_End,Out_of_Sample_R2,Target_Stock,Actual,Predicted
13,2024-12-30 09:44:00+00:00,2024-12-30 10:14:00+00:00,2024-12-30 10:14:00+00:00,2024-12-30 10:19:00+00:00,-2.4771602254829914,AAPL,"[np.float64(0.000765614148255267), np.float64(0.0006478655022279511), np.float64(9.813639003386498e-05), np.float64(-0.0002355250256229624), np.float64(-0.00037290364798181486), np.float64(-0.0005299781262717573)]","[np.float64(0.0007656141482552669), np.float64(0.0001879638574920448), np.float64(0.0001064996824031627), np.float64(0.00034552350551410554), np.float64(0.0009335792177822516), np.float64(0.0013717200966682041)]"
14,2024-12-30 09:45:00+00:00,2024-12-30 10:15:00+00:00,2024-12-30 10:15:00+00:00,2024-12-30 10:20:00+00:00,-3.54900070919986,AAPL,"[np.float64(0.0006478655022279511), np.float64(9.813639003386498e-05), np.float64(-0.0002355250256229624), np.float64(-0.00037290364798181486), np.float64(-0.0005299781262717573), np.float64(-0.00049076865169706)]","[np.float64(0.0006478655022279501), np.float64(0.00027843519711056414), np.float64(0.0002826328451626903), np.float64(0.001037702893640278), np.float64(0.001914879805406978), np.float64(0.0007321525378494457)]"
15,2024-12-30 09:46:00+00:00,2024-12-30 10:16:00+00:00,2024-12-30 10:16:00+00:00,2024-12-30 10:21:00+00:00,-2.383780840699477,AAPL,"[np.float64(9.813639003386498e-05), np.float64(-0.0002355250256229624), np.float64(-0.00037290364798181486), np.float64(-0.0005299781262717573), np.float64(-0.00049076865169706), np.float64(-0.0006871570620550216)]","[np.float64(9.81363900338652e-05), np.float64(0.0005468588053343165), np.float64(0.0009733347500102506), np.float64(0.0016649366811737685), np.float64(0.00029487856908043413), np.float64(0.0008163199124319852)]"
16,2024-12-30 09:47:00+00:00,2024-12-30 10:17:00+00:00,2024-12-30 10:17:00+00:00,2024-12-30 10:22:00+00:00,-1.7779507507140235,AAPL,"[np.float64(-0.0002355250256229624), np.float64(-0.00037290364798181486), np.float64(-0.0005299781262717573), np.float64(-0.00049076865169706), np.float64(-0.0006871570620550216), np.float64(-0.0005694145982895193)]","[np.float64(-0.00023552502562296294), np.float64(0.0010892824642541074), np.float64(0.0018683558047290065), np.float64(0.0003682370959441665), np.float64(-0.0006203047432951818), np.float64(0.0004924212362429934)]"
17,2024-12-30 09:48:00+00:00,2024-12-30 10:18:00+00:00,2024-12-30 10:18:00+00:00,2024-12-30 10:23:00+00:00,-9.08704382359673,AAPL,"[np.float64(-0.00037290364798181486), np.float64(-0.0005299781262717573), np.float64(-0.00049076865169706), np.float64(-0.0006871570620550216), np.float64(-0.0005694145982895193), np.float64(-0.00045159580979792224)]","[np.float64(-0.00037290364798181524), np.float64(0.004808052838567669), np.float64(-0.0016301830994198583), np.float64(-0.0010166973743245267), np.float64(0.001449279726397244), np.float64(0.00037712863042958355)]"
18,2024-12-30 09:49:00+00:00,2024-12-30 10:19:00+00:00,2024-12-30 10:19:00+00:00,2024-12-30 10:24:00+00:00,-0.46910437509613634,AAPL,"[np.float64(-0.0005299781262717573), np.float64(-0.00049076865169706), np.float64(-0.0006871570620550216), np.float64(-0.0005694145982895193), np.float64(-0.00045159580979792224), np.float64(-0.00041239948347282507)]","[np.float64(-0.0005299781262717562), np.float64(-0.0008334242817403459), np.float64(0.00020139566089660038), np.float64(-0.00019484802148596016), np.float64(-0.0020041172412212675), np.float64(-0.001499030438295632)]"
19,2024-12-30 09:50:00+00:00,2024-12-30 10:20:00+00:00,2024-12-30 10:20:00+00:00,2024-12-30 10:25:00+00:00,-2.212192832765391,AAPL,"[np.float64(-0.00049076865169706), np.float64(-0.0006871570620550216), np.float64(-0.0005694145982895193), np.float64(-0.00045159580979792224), np.float64(-0.00041239948347282507), np.float64(-0.00015709685053089117)]","[np.float64(-0.000490768651697058), np.float64(1.7512227147274193e-05), np.float64(-0.00011050046894937968), np.float64(-0.00193044276953511), np.float64(-0.0014138747147061546), np.float64(-0.0022373403990719356)]"
20,2024-12-30 09:51:00+00:00,2024-12-30 10:21:00+00:00,2024-12-30 10:21:00+00:00,2024-12-30 10:26:00+00:00,-1.5388694322982248,AAPL,"[np.float64(-0.0006871570620550216), np.float64(-0.0005694145982895193), np.float64(-0.00045159580979792224), np.float64(-0.00041239948347282507), np.float64(-0.00015709685053089117), np.float64(-3.928038338152362e-05)]","[np.float64(-0.0006871570620550201), np.float64(0.0008702917294686444), np.float64(-0.0012725284024892615), np.float64(3.2789716943607645e-05), np.float64(0.0008646657853135225), np.float64(0.0009015939435941176)]"
21,2024-12-30 09:52:00+00:00,2024-12-30 10:22:00+00:00,2024-12-30 10:22:00+00:00,2024-12-30 10:27:00+00:00,0.05168359013606716,AAPL,"[np.float64(-0.0005694145982895193), np.float64(-0.00045159580979792224), np.float64(-0.00041239948347282507), np.float64(-0.00015709685053089117), np.float64(-3.928038338152362e-05), np.float64(-1.9640770311468714e-05)]","[np.float64(-0.0005694145982895197), np.float64(-0.001394959379108207), np.float64(-0.0003042672023199159), np.float64(-8.570872702017853e-05), np.float64(-0.0003517696525505079), np.float64(0.00021361098492716628)]"
22,2024-12-30 09:53:00+00:00,2024-12-30 10:23:00+00:00,2024-12-30 10:23:00+00:00,2024-12-30 10:28:00+00:00,0.18954765712908994,AAPL,"[np.float64(-0.00045159580979792224), np.float64(-0.00041239948347282507), np.float64(-0.00015709685053089117), np.float64(-3.928038338152362e-05), np.float64(-1.9640770311468714e-05), np.float64(-0.00029462891701292904)]","[np.float64(-0.0004515958097979226), np.float64(3.0267393821495217e-06), np.float64(1.582913819034071e-05), np.float64(-0.0005013219827231087), np.float64(0.00032548697724882905), np.float64(-7.356894255341318e-05)]"
